codePostal;nomVille;longitude;latitude;population
75001;Paris;2.3417;48.8592;2145906
69001;Lyon;4.8345;45.7676;522228
80000;Amiens;2.3;49.9;134167
76000;Rouen;1.0993;49.4431;114187
